Serie 7-letras,Letra-pregunta,Posición,Respuesta,RT
"['P', 'K', 'G', 'Y', 'T', 'W', 'D']",C,3,2,1.2592392000369728
"['S', 'G', 'V', 'L', 'Y', 'Z', 'N']",L,4,1,1.3412431000033394
"['Z', 'D', 'J', 'P', 'W', 'L', 'Y']",D,2,1,1.362774100038223
"['H', 'P', 'Q', 'Z', 'K', 'V', 'S']",D,3,2,3.678269000025466
"['D', 'K', 'T', 'F', 'B', 'Y', 'G']",K,2,1,1.5263759000226855
"['T', 'S', 'W', 'C', 'L', 'J', 'H']",W,3,1,2.3100593000417575
"['W', 'B', 'F', 'Z', 'D', 'P', 'Q']",Q,7,1,1.7547354999696836
"['S', 'C', 'K', 'J', 'W', 'N', 'Y']",N,6,1,5.218381099984981
"['Y', 'B', 'G', 'K', 'D', 'X', 'P']",D,5,0,2.033210500027053
"['T', 'L', 'R', 'M', 'W', 'H', 'P']",J,3,2,1.647963900002651
"['V', 'D', 'Q', 'T', 'N', 'W', 'G']",W,6,1,2.088228499982506
"['N', 'K', 'W', 'C', 'Q', 'X', 'M']",W,3,1,1.360683099948801
"['Y', 'C', 'G', 'P', 'S', 'V', 'Z']",S,5,1,1.1518813000293449
"['P', 'Y', 'V', 'X', 'M', 'W', 'N']",F,3,2,0.9211898999055848
"['C', 'D', 'F', 'L', 'W', 'Y', 'J']",J,7,1,1.6976751000620425
"['X', 'K', 'C', 'M', 'F', 'D', 'Z']",K,2,1,1.2254611999960616
"['K', 'B', 'L', 'D', 'J', 'C', 'Z']",K,1,1,1.005831400048919
"['R', 'P', 'T', 'W', 'H', 'C', 'Z']",Z,7,1,0.9929336999775842
"['G', 'M', 'L', 'W', 'H', 'T', 'Y']",L,3,1,0.9554752999683842
"['K', 'R', 'N', 'G', 'C', 'J', 'Y']",G,4,1,0.7860288000665605
"['R', 'J', 'W', 'L', 'T', 'C', 'B']",V,3,2,0.9101459999801591
"['N', 'Q', 'F', 'L', 'J', 'R', 'C']",M,3,2,0.7701521998969838
"['Y', 'R', 'Z', 'P', 'J', 'D', 'V']",N,3,2,0.9351465000072494
"['J', 'N', 'K', 'Z', 'Y', 'Q', 'P']",J,1,0,0.8724569999612868
"['X', 'G', 'T', 'W', 'F', 'H', 'P']",W,4,0,0.7866660000290722
"['P', 'W', 'B', 'L', 'D', 'H', 'Q']",D,5,1,0.9279498999239877
"['Z', 'Q', 'P', 'G', 'L', 'B', 'W']",J,3,2,2.6814343000296503
"['B', 'H', 'Q', 'M', 'N', 'Z', 'K']",B,1,1,1.0461330000543967
"['F', 'J', 'R', 'S', 'Z', 'C', 'Q']",G,3,2,0.8825677999993786
"['S', 'M', 'Q', 'R', 'N', 'X', 'Y']",X,6,1,1.1156074999598786
